City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,petropavlovsk-kamchatsky,53.0452,158.6483,12.1,100,55,4.47,RU,1693058925
83,palikir - national government center,6.9248,158.1611,23.41,94,100,1.54,FM,1693058628
84,kununurra,-15.7667,128.7333,24.99,22,0,3.6,AU,1693058926
85,olyokminsk,60.3736,120.4264,13.33,63,90,1.02,RU,1693058706
86,rongelap,11.1635,166.8941,26.99,75,100,3.04,MH,1693058927
87,fort mcmurray,56.7268,-111.381,10.77,100,0,1.54,CA,1693058798
88,maxcanu,20.5833,-89.9833,26.57,83,36,0.87,MX,1693058929
89,tiksi,71.6872,128.8694,9.49,100,100,1.71,RU,1693058929
90,dalandzadgad,43.5708,104.425,22.85,25,79,2.86,MN,1693058930
91,massawa,15.6097,39.45,35.09,61,17,3.54,ER,1693058931
92,zhumysker,49.3333,49.4,22.07,22,10,6.95,KZ,1693058931
93,punta arenas,-53.15,-70.9167,4.56,70,100,6.3,CL,1693058932
94,stanley,54.868,-1.6985,15.85,79,75,5.14,GB,1693058933
95,ust-nera,64.5667,143.2,7.43,74,7,0.6,RU,1693058933
96,port alfred,-33.5906,26.891,14.54,71,95,5.36,ZA,1693058934
97,ar ruways,24.1103,52.7306,36.44,52,55,4.99,AE,1693058935
98,college,64.8569,-147.8028,13.78,89,100,2.57,US,1693058775
99,sola,-13.8833,167.55,24.51,70,100,11.27,VU,1693058936
100,puerto ayora,-0.7393,-90.3518,26.98,92,85,3.13,EC,1693058937
101,ekibastuz,51.6667,75.3667,20.99,30,52,4.57,KZ,1693058937
102,kongsvinger,60.1905,11.9977,15.59,81,100,3.68,NO,1693058938
103,quepos,9.4236,-84.1652,28.11,76,1,0.54,CR,1693058939
104,west island,-12.1568,96.8225,25.99,83,75,8.23,CC,1693058940
105,brookings,44.3114,-96.7984,17.32,92,100,4.63,US,1693058710
106,morondava,-20.2833,44.2833,25.97,71,4,5.1,MG,1693058942
107,jining,35.405,116.5814,20.36,96,100,3.59,CN,1693058810
108,natal,-5.795,-35.2094,29.36,74,75,4.63,BR,1693058759
109,ialibu,-6.2821,143.9935,14.26,100,100,0.64,PG,1693058944
110,vryheid,-27.7695,30.7917,21.62,14,1,4.6,ZA,1693058944
111,tazovsky,67.4667,78.7,11.6,67,96,4.42,RU,1693058945
112,klaksvik,62.2266,-6.589,12.51,81,100,4.76,FO,1693058946
113,vernon,50.2581,-119.2691,15.16,74,1,0.22,CA,1693058899
114,lebu,-37.6167,-73.65,8.64,64,0,0.66,CL,1693058947
115,riohacha,11.5444,-72.9072,30.98,66,83,0.68,CO,1693058948
116,vilyuchinsk,52.9306,158.4028,12.92,85,81,3.24,RU,1693058949
117,port mathurin,-19.6833,63.4167,22.79,77,67,11.62,MU,1693058949
118,korla,41.7597,86.1469,30.35,17,4,1.79,CN,1693058950
119,green valley,31.8543,-110.9937,28.83,52,33,2.2,US,1693058951
120,hithadhoo,-0.6,73.0833,28.51,74,62,2.14,MV,1693058952
121,aioun,16.6614,-9.6149,41.58,13,29,5.83,MR,1693058953
122,newman,37.3138,-121.0208,17.38,85,0,2.04,US,1693058954
123,island harbour,50.724,-1.2758,20.55,70,88,2.24,GB,1693058955
124,kayangel,8.0823,134.7173,27.85,83,100,7.88,PW,1693058955
125,fale old settlement,-9.3852,-171.2468,27.26,80,100,4.75,TK,1693058956
126,alice springs,-23.7,133.8833,10.75,35,0,0.0,AU,1693058957
127,afaahiti,-17.75,-149.2833,24.93,81,83,10.03,PF,1693058667
128,ilebo,-4.3167,20.5833,27.94,64,92,1.2,CD,1693058757
129,pakxan,18.3778,103.6601,24.34,97,66,0.4,LA,1693058959
130,thompson,55.7435,-97.8558,15.01,71,0,4.31,CA,1693058960
131,quellon,-43.1167,-73.6167,7.14,87,0,4.12,CL,1693058671
132,ta`u,-14.2336,-169.5144,27.23,75,100,3.82,AS,1693058961
133,st. john's,47.5649,-52.7093,19.88,79,67,1.79,CA,1693058962
134,kralendijk,12.15,-68.2667,31.99,70,75,3.6,BQ,1693058963
135,san juan de miraflores,-12.1629,-76.9635,20.65,80,42,3.15,PE,1693058963
136,rikaze,29.25,88.8833,15.9,53,100,3.66,CN,1693058964
137,tual,-5.6667,132.75,25.36,86,98,9.16,ID,1693058965
138,york,40.1254,-77.0,26.97,73,7,3.22,US,1693058815
139,aguilas,37.4063,-1.5829,33.46,47,98,4.36,ES,1693058966
140,kingston,17.997,-76.7936,27.36,94,78,0.45,JM,1693058913
141,schweizer-reneke,-27.1887,25.3293,17.21,11,0,6.4,ZA,1693058968
142,namie,37.4833,141.0,25.4,93,100,1.76,JP,1693058969
143,bryne,58.7354,5.6477,16.43,86,75,3.6,NO,1693058970
144,lichuan,30.3,108.85,18.34,99,100,0.91,CN,1693058970
145,papao,-17.75,-149.55,25.82,79,14,10.59,PF,1693058971
146,north haven,41.3909,-72.8595,24.15,89,100,3.09,US,1693058972
147,yeppoon,-23.1333,150.7333,16.88,70,0,6.56,AU,1693058973
148,jiangyou,31.7667,104.7167,21.21,91,100,0.9,CN,1693058973
149,freeport,40.6576,-73.5832,25.99,91,100,6.69,US,1693058862
150,neiafu,-18.65,-173.9833,23.34,74,100,7.26,TO,1693058975
151,pangody,65.85,74.4859,8.73,85,100,5.88,RU,1693058976
152,geraldton,-28.7667,114.6,13.23,94,0,2.57,AU,1693058977
153,qamdo,31.1667,97.2333,4.96,86,97,1.53,CN,1693058977
154,redcar,54.6166,-1.06,17.27,77,57,1.83,GB,1693058979
155,ola,59.5833,151.2833,11.2,85,88,0.16,RU,1693058980
156,talnakh,69.4865,88.3972,10.67,90,100,5.17,RU,1693058981
157,inirida,3.8653,-67.9239,30.49,65,3,0.51,CO,1693058982
158,dudinka,69.4058,86.1778,10.9,91,100,5.93,RU,1693058982
